0,;
1,(
2,)
3,#
4,{
5,}
6,""""
7,:
8,\*
9,*\
10,","
11,<-
12,=
13,"'"
14,epsilon
15,->
20,start
21,end
22,if
23,else
24,elseif
25,fi
26,meanwhile
27,done
28,func
29,return
30,var
31,call
36,int
37,float
38,char
39,string
40,boolean
41,void
46,+
47,-
48,/
49,*
50,%
51,^
52,+=
53,-=
54,/=
55,*=
60,<
61,>
62,<=
63,>=
64,==
65,!=
72,OR
73,AND
74,!
75,GOTO
76,BLOCK_START
70,FALSE
71,TRUE
80,symbol
81,constant
